isperson,iscycle,iscar,istruck,xmin,ymin,xmax,ymax,zloc,imageName
0,0,1,0,0.654,0.538,0.998,0.762,0.1546487725135336,simpleframe1634172686889
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001152627442,simpleframe1634172719985
0,0,1,0,0.654,0.538,0.998,0.762,0.15464877251009396,simpleframe1634172719985
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001174848271,simpleframe1634172752007
0,0,1,0,0.654,0.538,0.998,0.762,0.1546487725054985,simpleframe1634172752007
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001181096752,simpleframe1634172781840
0,0,1,0,0.654,0.538,0.998,0.762,0.15464877251010356,simpleframe1634172781840
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001164521307,simpleframe1634172813187
0,0,1,0,0.654,0.538,0.998,0.762,0.15464877251697326,simpleframe1634172813187
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001169702144,simpleframe1634172843539
0,0,1,0,0.654,0.538,0.998,0.762,0.15464877251468073,simpleframe1634172843539
0,0,1,0,0.352,0.536,0.644,0.794,0.1258272260197557,simpleframe1634172874498
0,0,1,0,0.652,0.538,0.998,0.756,0.15605285834246774,simpleframe1634172874498
0,0,1,0,0.446,0.52,0.548,0.602,0.25378322819277094,simpleframe1634172904931
0,0,1,0,0.58,0.52,0.7,0.588,0.294102832784345,simpleframe1634172904931
0,0,1,0,0.052,0.53,0.27,0.69,0.2865554459802562,simpleframe1634179333165
0,0,1,0,0.07,0.554,0.26,0.69,0.16483624974490976,simpleframe1634180624265
0,0,1,0,0.244,0.516,0.364,0.566,0.29292972603785733,simpleframe1634180739537
0,0,1,0,0.168,0.518,0.284,0.536,0.2533961395036557,simpleframe1634180758809
0,0,1,0,0.168,0.518,0.284,0.536,0.21799747839615757,simpleframe1634180777565
0,0,1,0,0.216,0.518,0.336,0.624,0.23977268184663206,simpleframe1634180978467
0,0,1,0,0,0.524,0.364,0.734,0.239772681850478,simpleframe1634180993457
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182014222
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182027177
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182040039
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182052275
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182064114
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182076361
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182089379
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182102358
0,0,1,0,0.44,0.51,0.556,0.602,0.2588806082814983,simpleframe1634182116105
0,0,1,0,0.44,0.51,0.556,0.602,0.2588975223305233,simpleframe1634182129095
0,0,1,0,0.71,0.538,0.878,0.662,0.11642429182983362,simpleframe1634182143186
0,0,1,0,0.588,0.518,0.75,0.61,0.2640008472920462,simpleframe1634182156387
0,0,1,0,0.45,0.51,0.552,0.59,0.2836034572882542,simpleframe1634182182360
0,0,1,0,0.444,0.51,0.554,0.596,0.27378674751205306,simpleframe1634182359008
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728259965,simpleframe1634182371618
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728031914,simpleframe1634182383987
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386727318341,simpleframe1634182397169
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386727803864,simpleframe1634182410183
0,0,1,0,0.674,0.526,0.998,0.998,0.1282384526489476,simpleframe1634182410183
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386727281559,simpleframe1634182422670
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182422670
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728031914,simpleframe1634182435102
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182435102
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728105479,simpleframe1634182447756
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182447756
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728031914,simpleframe1634182461151
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182461151
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728105479,simpleframe1634182473924
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182473924
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386727884785,simpleframe1634182486868
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182486868
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728031914,simpleframe1634182500322
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182500322
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386727921567,simpleframe1634182512997
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182512997
0,0,1,0,0.444,0.51,0.554,0.596,0.2720386728142261,simpleframe1634182526429
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182526429
0,0,1,0,0.448,0.51,0.552,0.592,0.28022459975880226,simpleframe1634182539977
0,0,1,0,0.674,0.526,0.998,0.998,0.12823883279994658,simpleframe1634182539977
0,0,1,0,0.448,0.51,0.552,0.592,0.28023512975705533,simpleframe1634182552986
0,0,1,0,0.604,0.514,0.846,0.65,0.21421112316725366,simpleframe1634182552986
0,0,1,0,0.634,0.518,0.998,0.726,0.17140924231895016,simpleframe1634182566221
0,0,1,0,0.45,0.51,0.548,0.586,0.2922035631658153,simpleframe1634182566221
0,0,1,0,0.588,0.512,0.75,0.61,0.2583046316250879,simpleframe1634182579592
0,0,1,0,0.434,0.512,0.562,0.614,0.28157214460591984,simpleframe1634182606328
0,0,1,0,0.434,0.512,0.562,0.614,0.2400083580601042,simpleframe1634182619354
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820562386294,simpleframe1634182632249
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820541454243,simpleframe1634182645212
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820542762255,simpleframe1634182658009
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820540986958,simpleframe1634182670696
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820539725545,simpleframe1634182683264
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054015275,simpleframe1634182694974
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054190784,simpleframe1634182707435
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820540986958,simpleframe1634182719988
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082053721283,simpleframe1634182732356
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820538017056,simpleframe1634182744156
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054528802,simpleframe1634182756047
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082053630857,simpleframe1634182768143
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054697991,simpleframe1634182780335
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820549542515,simpleframe1634182792327
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820540573112,simpleframe1634182804325
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054829119,simpleframe1634182816598
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820541043655,simpleframe1634182828694
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054658268,simpleframe1634182840317
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082053380271,simpleframe1634182851799
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820537149614,simpleframe1634182864104
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820551668137,simpleframe1634182876019
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054570513,simpleframe1634182887803
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820536312154,simpleframe1634182900260
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820549542515,simpleframe1634182912063
0,0,1,0,0.434,0.512,0.562,0.614,0.24000820545271404,simpleframe1634182924477
0,0,1,0,0.434,0.512,0.562,0.614,0.2400082054570513,simpleframe1634182936444
0,0,1,0,0.448,0.51,0.55,0.588,0.2891895624754086,simpleframe1634182987079
0,0,1,0,0.448,0.51,0.55,0.588,0.289133320573229,simpleframe1634182998871
0,0,1,0,0.444,0.51,0.552,0.594,0.2736864191311024,simpleframe1634183062532
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183075491
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183089684
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183102759
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183115613
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183128577
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183141290
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183153912
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183167079
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183179896
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183193323
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183206967
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183220670
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183234031
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183247497
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183260977
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183278478
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183291150
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183304545
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183318079
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183330774
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183343753
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183356489
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183369772
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183383376
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183396575
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183409666
0,0,1,0,0.444,0.51,0.552,0.594,0.2736690253675206,simpleframe1634183423429
0,0,1,0,0.446,0.51,0.552,0.594,0.27524269548169167,simpleframe1634183436521
0,0,1,0,0,0.532,0.324,0.896,0.13467275653946018,simpleframe1634183501409
0,0,1,0,0,0.528,0.344,0.786,0.15126586995867833,simpleframe1634183515078
0,0,1,0,0.19,0.52,0.394,0.636,0.2206122936572556,simpleframe1634183527931
0,0,1,0,0,0.528,0.326,0.8,0.2626425798672079,simpleframe1634183638808
0,0,1,0,0,0.54,0.02,0.658,0.2627500534307234,simpleframe1634184569251
0,0,1,0,0,0.516,0.184,0.724,0.271442953321811,simpleframe1634184580332
0,0,1,0,0,0.518,0.184,0.726,0.2111979663000858,simpleframe1634184590846
0,0,1,0,0.796,0.564,0.998,0.73,0.09590843138089226,simpleframe1634218183458
0,0,1,0,0.796,0.564,0.998,0.73,0.09590845732312543,simpleframe1634218205943
0,0,1,0,0.796,0.564,0.998,0.73,0.09590845741613208,simpleframe1634218228905
0,0,1,0,0.796,0.564,0.998,0.73,0.09590845732933088,simpleframe1634218251894
0,0,1,0,0.796,0.564,0.998,0.73,0.09590845732933088,simpleframe1634218274875
0,0,1,0,0.796,0.564,0.998,0.73,0.0959084572920983,simpleframe1634218297026
0,0,1,0,0.796,0.564,0.998,0.73,0.09590845732933088,simpleframe1634218319103
0,0,1,0,0.762,0.556,0.946,0.704,0.1042040921277656,simpleframe1634218341209
0,0,1,0,0.63,0.524,0.832,0.652,0.2072194648891358,simpleframe1634218363255
0,0,1,0,0.674,0.54,0.998,0.982,0.12992092074519263,simpleframe1634218385896
0,0,1,0,0.63,0.522,0.76,0.594,0.24208050102379944,simpleframe1634218385896
0,0,1,0,0.672,0.538,0.998,0.964,0.13128676974140807,simpleframe1634218408971
0,0,1,0,0.678,0.534,0.998,0.774,0.2060652568026572,simpleframe1634218455556
0,0,1,0,0.664,0.526,0.9,0.676,0.19448310714260678,simpleframe1634218479139
0,0,1,0,0.674,0.522,0.874,0.652,0.22325100585171256,simpleframe1634218693494
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079131525816,simpleframe1634219575719
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912749627,simpleframe1634219596805
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079134048387,simpleframe1634219618775
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707913018263,simpleframe1634219640358
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079133032805,simpleframe1634219662144
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912512115,simpleframe1634219683987
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912949466,simpleframe1634219705026
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912697211,simpleframe1634219726242
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912548151,simpleframe1634219746719
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079133884585,simpleframe1634219767498
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707913018263,simpleframe1634219788299
0,0,1,0,0.698,0.518,0.956,0.6,0.2909707912346676,simpleframe1634219809311
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079120436453,simpleframe1634219830126
0,0,1,0,0.698,0.518,0.956,0.6,0.29097079130690423,simpleframe1634219854547
0,0,1,0,0.658,0.518,0.918,0.602,0.2771898912592521,simpleframe1634219885646
0,0,1,0,0.608,0.52,0.766,0.616,0.23303100557134848,simpleframe1634219906845
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135425298692,simpleframe1634219926534
0,0,1,0,0.5,0.52,0.764,0.616,0.23277518417463292,simpleframe1634219926534
0,0,1,0,0.49,0.522,0.552,0.55,0.297613542493007,simpleframe1634219945676
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519366615707,simpleframe1634219945676
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135424914035,simpleframe1634219965299
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519375215355,simpleframe1634219965299
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135425699788,simpleframe1634219985370
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519369359392,simpleframe1634219985370
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135425507061,simpleframe1634220005222
0,0,1,0,0.5,0.52,0.764,0.616,0.2327751937564534,simpleframe1634220005222
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135424450681,simpleframe1634220025178
0,0,1,0,0.5,0.52,0.764,0.616,0.2327751935408498,simpleframe1634220025178
0,0,1,0,0.49,0.522,0.552,0.55,0.297613542510646,simpleframe1634220044977
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519375850098,simpleframe1634220044977
0,0,1,0,0.49,0.522,0.552,0.55,0.29761354249781763,simpleframe1634220065063
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519375440586,simpleframe1634220065063
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135424963314,simpleframe1634220085110
0,0,1,0,0.5,0.52,0.764,0.616,0.2327751936937987,simpleframe1634220085110
0,0,1,0,0.49,0.522,0.552,0.55,0.2976135424865929,simpleframe1634220105990
0,0,1,0,0.5,0.52,0.764,0.616,0.2327751936600145,simpleframe1634220105990
0,0,1,0,0.49,0.522,0.552,0.55,0.29761354253955913,simpleframe1634220126789
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519366021926,simpleframe1634220126789
0,0,1,0,0.49,0.522,0.552,0.55,0.29761354250266736,simpleframe1634220146777
0,0,1,0,0.5,0.52,0.764,0.616,0.23277519370833616,simpleframe1634220146777
0,0,1,0,0.336,0.52,0.656,0.798,0.23011932624491682,simpleframe1634220392598
0,0,1,0,0,0.532,0.334,0.766,0.23980319765646801,simpleframe1634220392598
0,0,1,0,0.322,0.522,0.668,0.822,0.13460783868293313,simpleframe1634220413412
0,0,1,0,0,0.534,0.328,0.786,0.15120904406767413,simpleframe1634220413412
0,0,1,0,0.322,0.522,0.668,0.822,0.1324822654383048,simpleframe1634220434541
0,0,1,0,0,0.534,0.328,0.786,0.1493321496702198,simpleframe1634220434541
0,0,1,0,0.358,0.52,0.636,0.758,0.1880492027294542,simpleframe1634220456193
0,0,1,0,0.124,0.526,0.37,0.668,0.23192877270404771,simpleframe1634220456193
0,0,1,0,0.11,0.53,0.888,0.998,0.14422807057341405,simpleframe1634220477791
0,0,1,0,0,0.536,0.33,0.79,0.19066115870652278,simpleframe1634220477791
0,0,1,0,0.11,0.53,0.888,0.998,0.09799531573256619,simpleframe1634220498209
0,0,1,0,0,0.534,0.33,0.788,0.14861116524140297,simpleframe1634220498209
0,0,1,0,0.11,0.53,0.888,0.998,0.09800315077356608,simpleframe1634220518878
0,0,1,0,0,0.534,0.33,0.788,0.14861519529364373,simpleframe1634220518878
0,0,1,0,0.11,0.528,0.888,0.998,0.09800586400295433,simpleframe1634220539340
0,0,1,0,0,0.534,0.33,0.788,0.14861668262162672,simpleframe1634220539340
0,0,1,0,0.336,0.522,0.662,0.8,0.13653228632782657,simpleframe1634220558930
0,0,1,0,0,0.53,0.342,0.746,0.15888967419902406,simpleframe1634220558930
0,0,1,0,0.404,0.516,0.594,0.676,0.2240500037857361,simpleframe1634220578301
0,0,1,0,0.15,0.524,0.376,0.656,0.23937930710730831,simpleframe1634220578301
